Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.38572770899735653
75% Corpus,2,0.01,0.31,0.40238713192170084
75% Corpus,2,0.01,0.61,0.39326397553183534
75% Corpus,2,0.01,0.9099999999999999,0.39382347748859386
75% Corpus,2,0.01,symmetric,0.39336959228680785
75% Corpus,2,0.31,0.01,0.3654001864364178
75% Corpus,2,0.31,0.31,0.35213876472329164
75% Corpus,2,0.31,0.61,0.391891191958737
75% Corpus,2,0.31,0.9099999999999999,0.35688490248377325
75% Corpus,2,0.31,symmetric,0.3896146251228875
75% Corpus,2,0.61,0.01,0.41592713628853023
75% Corpus,2,0.61,0.31,0.372139781252674
75% Corpus,2,0.61,0.61,0.3773917246729984
75% Corpus,2,0.61,0.9099999999999999,0.4082721086364618
75% Corpus,2,0.61,symmetric,0.38182561713943214
75% Corpus,2,0.9099999999999999,0.01,0.39542687134610915
75% Corpus,2,0.9099999999999999,0.31,0.37251470343797055
75% Corpus,2,0.9099999999999999,0.61,0.3915876830369964
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.39208137037170554
75% Corpus,2,0.9099999999999999,symmetric,0.3876977082292667
75% Corpus,2,symmetric,0.01,0.3740358472283354
75% Corpus,2,symmetric,0.31,0.3532443278097853
75% Corpus,2,symmetric,0.61,0.37173154346940107
75% Corpus,2,symmetric,0.9099999999999999,0.41434223470247056
75% Corpus,2,symmetric,symmetric,0.37562980494670584
75% Corpus,2,asymmetric,0.01,0.3937249608435013
75% Corpus,2,asymmetric,0.31,0.3428487770968385
75% Corpus,2,asymmetric,0.61,0.36446856890092105
75% Corpus,2,asymmetric,0.9099999999999999,0.3039688030590651
75% Corpus,2,asymmetric,symmetric,0.39387617906080097
75% Corpus,3,0.01,0.01,0.39114407802850976
75% Corpus,3,0.01,0.31,0.36550626296478717
75% Corpus,3,0.01,0.61,0.3835774474771152
75% Corpus,3,0.01,0.9099999999999999,0.35176393253519117
75% Corpus,3,0.01,symmetric,0.38177300205928194
75% Corpus,3,0.31,0.01,0.3956102144609475
75% Corpus,3,0.31,0.31,0.3616036334529631
75% Corpus,3,0.31,0.61,0.3613552695225635
75% Corpus,3,0.31,0.9099999999999999,0.3450370078412514
75% Corpus,3,0.31,symmetric,0.3616036334529631
75% Corpus,3,0.61,0.01,0.3879948582786243
75% Corpus,3,0.61,0.31,0.36450315754390283
75% Corpus,3,0.61,0.61,0.37654915666250277
75% Corpus,3,0.61,0.9099999999999999,0.3788180731000872
75% Corpus,3,0.61,symmetric,0.36885349695492864
75% Corpus,3,0.9099999999999999,0.01,0.37092705301839324
75% Corpus,3,0.9099999999999999,0.31,0.37068212036250503
75% Corpus,3,0.9099999999999999,0.61,0.38211271788136053
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.382441093085452
